chr	start	end	orang	gorilla	bonobo	chimp	human	macaca
chr14	50000001	75000000	1	1	3	2	1	2
chr14	75000001	100000000	6	6	8	8	7	5
chr14	100000001	125000000	0	0	0	0	0	1
chr15	1	25000000	0	0	0	0	0	0
chr15	25000001	50000000	16	9	6	10	8	8
chr15	50000001	75000000	6	5	5	4	5	5
chr15	75000001	100000000	3	0	0	1	1	1
chr15	100000001	125000000	0	0	0	0	0	0
chr16	1	25000000	15	8	9	13	9	11
chr16	25000001	50000000	1	1	1	1	1	2
chr16	50000001	75000000	2	3	1	1	2	8
chr16	75000001	100000000	2	3	1	3	4	5
chr17	1	25000000	45	10	10	21	15	27
chr17	25000001	50000000	2	2	2	3	3	2
chr17	50000001	75000000	5	4	9	5	5	6
chr17	75000001	100000000	0	0	0	0	1	2
chr18	1	25000000	0	1	0	2	2	4
chr18	25000001	50000000	2	1	2	1	3	6
chr18	50000001	75000000	3	3	4	4	2	7
chr18	75000001	100000000	0	0	1	0	0	1
chr19	1	25000000	6	9	7	8	9	5
chr19	25000001	50000000	13	11	14	13	13	5
chr19	50000001	75000000	1	1	0	3	3	3
chr20	1	25000000	3	3	5	3	5	12
chr20	25000001	50000000	1	1	1	1	1	4
chr20	50000001	75000000	5	3	2	5	6	6
chr21	1	25000000	0	2	0	8	2	1
chr21	25000001	50000000	10	8	3	9	12	7
chr22	1	25000000	2	2	2	3	3	0
chr22	25000001	50000000	9	10	7	8	13	7
chr22	50000001	75000000	1	1	1	1	0	1
chrX	1	25000000	5	4	9	5	3	9
chrX	25000001	50000000	1	1	2	2	0	5
chrX	50000001	75000000	12	10	10	11	6	8
chrX	75000001	100000000	1	2	1	2	0	5
chrX	100000001	125000000	23	9	20	14	8	6
chrX	125000001	150000000	13	9	3	13	10	6
chrX	150000001	175000000	0	0	0	0	0	0
chrY	1	25000000	1	0	0	41	14	0
chrY	25000001	50000000	0	0	0	0	0	0
chrY	50000001	75000000	0	0	0	0	1	0
