chr	start	end	orang	gorilla	bonobo	chimp	human	macaca
chr17	50000001	75000000	0	0	2	1	2	0
chr17	75000001	100000000	0	0	0	0	0	0
chr18	1	25000000	0	1	0	3	0	0
chr18	25000001	50000000	0	0	0	1	0	0
chr18	50000001	75000000	2	0	1	3	1	1
chr18	75000001	100000000	0	0	0	0	0	0
chr19	1	25000000	0	0	2	1	3	0
chr19	25000001	50000000	0	0	1	4	1	0
chr19	50000001	75000000	0	0	0	2	0	0
chr20	1	25000000	0	0	3	2	2	1
chr20	25000001	50000000	1	0	1	0	2	0
chr20	50000001	75000000	0	0	0	0	1	0
chr21	1	25000000	0	0	1	0	3	0
chr21	25000001	50000000	2	0	0	2	2	0
chr22	1	25000000	0	0	0	1	0	0
chr22	25000001	50000000	0	1	0	3	4	0
chr22	50000001	75000000	0	0	0	0	0	0
chrX	1	25000000	0	0	0	3	3	0
chrX	25000001	50000000	1	0	0	0	0	0
chrX	50000001	75000000	0	0	0	1	0	1
chrX	75000001	100000000	1	1	1	0	0	0
chrX	100000001	125000000	0	0	0	0	1	0
chrX	125000001	150000000	0	0	0	1	0	0
chrX	150000001	175000000	0	0	0	0	0	0
chrY	1	25000000	0	0	0	0	0	0
chrY	25000001	50000000	0	0	0	0	0	0
chrY	50000001	75000000	0	0	0	0	0	0
